English,Telugu,Swahili,Hindi,Arabic
"The psoriasis is red, scaly, and raised patches of skin.","ఈ సోరియాసిస్ ఎరుపు, పొలుసు మరియు పెరిగిన చర్మం ప్యాచ్‌లు.","psoriasis ni nyekundu, scaly, na viraka vilivyoinuliwa vya ngozi.","सोरायसिस लाल, पपड़ीदार और त्वचा के उभरे हुए पैच हैं।",الصدفية هي بقع حمراء ومتقشرة ومرتفعة من الجلد.
Do you use moisturizing creams and ointments to keep your skin hydrated?,మీరు మీ చర్మాన్ని తేమగా ఉంచడానికి మాయిశ్చరైజింగ్ క్రీములు మరియు లేములు ఉపయోగిస్తారా?,"Je, unatumia creams za moisturizing na mafuta ili kuweka ngozi yako hydrated?",क्या आप अपनी त्वचा को हाइड्रेटेड रखने के लिए मॉइस्चराइजिंग क्रीम और मलहम का उपयोग करते हैं?,هل تستخدمين الكريمات والمراهم المرطبة للحفاظ على رطوبة بشرتك؟
I have eczema.,నాకు ఎగ్జిమా ఉంది.,Nina eczema.,मुझे एक्जिमा है।,لدي الأكزيما.
"The eczema is red, itchy, and inflamed skin.","ఈ ఎగ్జిమా ఎరుపు, దురదృబాటు మరియు వాపు ఉన్న చర్మం.","eczema ni nyekundu, itchy, na ngozi ya inflamed.","एक्जिमा लाल, खुजली, और सूजन वाली त्वचा है।",الأكزيما هي بشرة حمراء وحكة وملتهبة.
"Do you avoid harsh soaps and detergents, and use lukewarm water instead of hot water when bathing or showering?",మీరు కఠినమైన సబ్బులు మరియు డిటర్జెంట్లకు దూరంగా ఉంటారా మరియు స్నానం చేసేటప్పుడు లేదా స్నానం చేసేటప్పుడు వేడి నీటికి బదులుగా గోరువెచ్చని నీటిని ఉపయోగిస్తారా?,"Je, unaepuka sabuni kali na sabuni, na kutumia maji ya vuguvugu badala ya maji ya moto wakati wa kuoga au kuoga?","क्या आप कठोर साबुन और डिटर्जेंट से बचते हैं, और स्नान या शॉवर करते समय गर्म पानी के बजाय गुनगुने पानी का उपयोग करते हैं?",هل تتجنب الصابون والمنظفات القاسية، وتستخدم الماء الفاتر بدلا من الماء الساخن عند الاستحمام أو الاستحمام؟
I have acne on my face.,నా ముఖంపై మొటిమలు ఉన్నాయి.,Nina acne juu ya uso wangu.,मेरे चेहरे पर मुहांसे हैं।,لدي حب الشباب على وجهي.
"The acne is whiteheads, blackheads, and pustules.","ఈ మొటిమలు వైట్‌హెడ్స్, బ్లాక్‌హెడ్స్ మరియు పుస్ట్యుల్స్.","acne ni vichwa vya nyeupe, vichwa vya nyeusi, na pustules.","मुँहासे व्हाइटहेड्स, ब्लैकहेड्स और मवाद हैं।",حب الشباب هو الرؤوس البيضاء والرؤوس السوداء والبثرات.
Have you been using any oil-based makeup or skin care products?,మీరు ఏవైనా నూనె-ఆధారిత మేకప్ లేదా చర్మ సంరక్షణ ఉత్పత్తులను ఉపయోగిస్తున్నారా?,"Je, umekuwa ukitumia bidhaa yoyote ya kutengeneza mafuta au huduma ya ngozi?",क्या आप किसी भी तेल आधारित मेकअप या त्वचा देखभाल उत्पादों का उपयोग कर रहे हैं?,هل كنت تستخدمين أي مكياج زيتي أو منتجات للعناية بالبشرة؟
I have hives on my skin.,నాకు చర్మంపై తామరలు ఉన్నాయి.,Nina mizinga kwenye ngozi yangu.,मेरी त्वचा पर पित्ती है।,لدي خلايا على جلدي.
"The hives are red, itchy, and raised.","ఈ తామరలు ఎరుపు, దురదృబాటు మరియు పెరిగి ఉన్నాయి.","Mizinga ni nyekundu, ya kusokota, na kuinuliwa.","छत्ते लाल, खुजलीदार और उभरे हुए होते हैं।",خلايا النحل حمراء وحكة ومرتفعة.
Have you been exposed to any new allergens?,మీరు ఏవైనా కొత్త అలెర్జీలకు గురయ్యారా?,"Je, umewahi kuwa na allergens mpya?",क्या आप किसी नए एलर्जी के संपर्क में आए हैं?,هل تعرضت لأي مسببات حساسية جديدة؟
I have a fungal infection on my skin.,నాకు చర్మంపై ఫంగల్ ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi ya vimelea kwenye ngozi yangu.,मेरी त्वचा पर फंगल संक्रमण है।,لدي عدوى فطرية على بشرتي.
"The fungal infection is red, itchy, and flaky.","ఈ ఫంగల్ ఇన్ఫెక్షన్ ఎరుపు, దురదృబాటు మరియు పొలుసుగా ఉంటుంది.","Maambukizi ya vimelea ni nyekundu, ya itchy, na flaky.","फंगल संक्रमण लाल, खुजली और परतदार होता है।",العدوى الفطرية حمراء وحكة وقشارية.
Have you been using any shared towels or clothing?,మీరు ఏవైనా భాగస్వామ్య టవల్స్ లేదా బట్టలు ఉపయోగించారా?,Umewahi kutumia taulo au nguo zilizoshirikiwa?,क्या आप किसी भी साझा तौलिए या कपड़ों का उपयोग कर रहे हैं?,هل كنت تستخدم أي مناشف أو ملابس مشتركة؟
I have a viral infection on my skin.,నాకు చర్మంపై వైరల్ ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi ya virusi kwenye ngozi yangu.,मेरी त्वचा पर एक वायरल संक्रमण है।,لدي عدوى فيروسية على بشرتي.
"The viral infection is red, painful, and blisters.","ఈ వైరల్ ఇన్ఫెక్షన్ ఎరుపు, నొప్పిగా ఉంటుంది మరియు బ్లిస్టర్లు ఉన్నాయి.","Maambukizi ya virusi ni nyekundu, chungu, na blisters.","वायरल संक्रमण लाल, दर्दनाक और फफोले है।",العدوى الفيروسية حمراء ومؤلمة وبثور.
Have you been in contact with anyone who has a viral infection?,మీరు వైరల్ ఇన్ఫెక్షన్ ఉన్న వ్యక్తితో కాంటాక్ట్లో ఉన్నారా?,Umewahi kuwasiliana na mtu yeyote ambaye ana maambukizi ya virusi?,क्या आप किसी ऐसे व्यक्ति के संपर्क में हैं जिसे वायरल संक्रमण है?,هل كنت على اتصال مع أي شخص مصاب بعدوى فيروسية؟
I have a bacterial infection on my skin.,నాకు చర్మంపై బ్యాక్టీరియల్ ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi ya bakteria kwenye ngozi yangu.,मेरी त्वचा पर एक जीवाणु संक्रमण है।,لدي عدوى بكتيرية على بشرتي.
"The bacterial infection is red, swollen, and painful.","ఈ బ్యాక్టీరియల్ ఇన్ఫెక్షన్ ఎరుపు, వాపు మరియు నొప్పిగా ఉంటుంది.","Maambukizi ya bakteria ni nyekundu, kuvimba, na chungu.","जीवाणु संक्रमण लाल, सूजन और दर्दनाक है।",العدوى البكتيرية حمراء ومنتفخة ومؤلمة.
Have you been scratching or picking at your skin?,మీరు మీ చర్మాన్ని గీసుకుంటున్నారా లేదా తీస్తున్నారా?,Umekuwa ukipiga au kuokota ngozi yako?,क्या आप अपनी त्वचा को खरोंच रहे हैं या उठा रहे हैं?,هل كنت تخدش جلدك أو تقطفه؟
I have a sunburn.,నాకు సన్‌బర్న్ ఉంది.,Nina jua kali.,मुझे सनबर्न हुआ है।,لدي حروق شمس.
"The sunburn is red, painful, and blistering.","ఈ సన్‌బర్న్ ఎరుపు, నొప్పిగా ఉంటుంది మరియు బ్లిస్టర్లు ఉన్నాయి.","Jua ni nyekundu, chungu, na blistering.","सनबर्न लाल, दर्दनाक और तेज है।",حروق الشمس حمراء ومؤلمة ومتقرحة.
Have you been spending too much time in the sun?,మీరు ఎక్కువ సేపు సూర్యకాంతిలో గడుపుతున్నారా?,"Je, umekuwa ukitumia muda mwingi katika jua?",क्या आप धूप में बहुत अधिक समय बिताते हैं?,هل كنت تقضي الكثير من الوقت في الشمس؟
I have a wart on my finger.,నా వేలికి మొటిమ ఉంది.,Nina chunusi kwenye kidole changu.,मेरी उंगली पर मस्सा है।,لدي ثؤلول على إصبعي.
"The wart is rough, dry, and raised.","ఈ మొట్టు గరుకుగా, పొడిగా మరియు పెరిగి ఉంది.","Kuku ni mbaya, kavu, na kuinuliwa.","मस्सा खुरदरा, सूखा और उभरा हुआ होता है।",الثؤلول خشن وجاف ومرتفع.
Have you been touching or picking at the wart?,మీరు ఈ మొట్టును తాకుతున్నారా లేదా తీస్తున్నారా?,"Je, umekuwa ukigusa au kuokota kwenye kitoweo?",क्या आप मस्से को छू रहे हैं या उठा रहे हैं?,هل كنت تلمس الثؤلول أو تلتقطه؟
I have a skin tag on my neck.,నా మెడమీద చర్మం ట్యాగ్ ఉంది.,Nina lebo ya ngozi kwenye shingo yangu.,मेरी गर्दन पर एक त्वचा टैग है।,لدي علامة جلدية على رقبتي.
"The skin tag is soft, fleshy, and hanging.","ఈ చర్మం ట్యాగ్ మృదువుగా, మాంసంలా మరియు వేలాడుతోంది.","Lebo ya ngozi ni laini, ya nyama, na kunyongwa.","त्वचा टैग नरम, मांसल और लटकता हुआ है।",الزوائد الجلدية ناعمة وسمينة ومعلقة.
I am pregnant.,నేను గర్భవతిగా ఉన్నాను.,Mimi ni mjamzito.,मैं गर्भवती हूं।,أنا حامل.
How many months pregnant are you?,మీరు ఎన్ని నెలలు గర్భవతిగా ఉన్నారు?,Una mimba ya miezi mingapi?,आप कितने महीने की गर्भवती हैं?,كم شهر من الحمل؟
I am three months pregnant.,నేను మూడు నెలలు గర్భవతిగా ఉన్నాను.,Nina mimba ya miezi mitatu.,मैं तीन महीने की गर्भवती हूं।,أنا حامل في الشهر الثالث.
Do you have any morning sickness?,మీకు ఏవైనా మార్నింగ్ సిక్‌నెస్ ఉందా?,"Je, una ugonjwa wa asubuhi?",क्या आपको कोई मॉर्निंग सिकनेस है?,هل لديك أي غثيان صباحي؟
"Yes, I have been feeling nauseous and vomiting.","అవును, నాకు వికారం మరియు వాంతులు వస్తున్నాయి.","Ndio, nimekuwa nikihisi kuwa na wasiwasi na kutapika.","हां, मुझे उल्टी और उल्टी महसूस हो रही है।",نعم ، لقد كنت أشعر بالغثيان والقيء.
How are your prenatal vitamins?,మీరు పీనాటల్ విటమిన్స్ ఎలా తీసుకుంటున్నారు?,Vitamini yako ya kabla ya kuzaa ni nini?,आपके प्रसवपूर्व विटामिन कैसे हैं?,كيف هي فيتامينات ما قبل الولادة؟
I am taking my prenatal vitamins every day.,నేను రోజుకు ఒకటిసారి నా పీనాటల్ విటమిన్స్ తీసుకుంటున్నాను.,Ninatumia vitamini yangu ya kabla ya kuzaa kila siku.,मैं हर दिन अपने प्रसवपूर्व विटामिन ले रहा हूं।,أنا أتناول فيتامينات ما قبل الولادة كل يوم.
Are you getting enough exercise?,మీరు సరిపోయే వ్యాయామం చేస్తున్నారా?,"Je, unapata mazoezi ya kutosha?",क्या आप पर्याप्त व्यायाम कर रहे हैं?,هل تمارس التمارين الرياضية بشكل كاف؟
I try to walk for at least 30 minutes each day.,నేను రోజుకు కనీసం 30 నిమిషాలు నడవాలని ప్రయత్నిస్తాను.,Ninajaribu kutembea kwa angalau dakika 30 kila siku.,मैं हर दिन कम से कम 30 मिनट चलने की कोशिश करता हूं।,أحاول المشي لمدة 30 دقيقة على الأقل كل يوم.
Are you eating a healthy diet?,మీరు ఆరోగ్యకరమైన ఆహారం తీసుకుంటున్నారా?,"Je, unakula chakula chenye afya?",क्या आप एक स्वस्थ आहार खा रहे हैं?,هل تتبع نظاما غذائيا صحيا؟
"I am trying to eat plenty of fruits, vegetables, and whole grains.","నేను పండ్లు, కూరగాయలు మరియు మొత్తం ధాన్యాలు చాలా తినడానికి ప్రయత్నిస్తున్నాను.","Ninajaribu kula matunda mengi, mboga, na nafaka nzima.","मैं बहुत सारे फल, सब्जियां और साबुत अनाज खाने की कोशिश कर रहा हूं।",أحاول تناول الكثير من الفواكه والخضروات والحبوب الكاملة.
My baby is kicking a lot.,నా శిశువు చాలా తన్నేస్తుంది.,Mtoto wangu anapiga sana.,मेरा बच्चा बहुत लात मार रहा है।,طفلي يركل كثيرا.
How often do you feel your baby move?,మీరు మీ శిశువు కదలికను ఎంత తరచుగా అనుభూతి చెందుతారు?,Ni mara ngapi unahisi mtoto wako anatembea?,आप कितनी बार महसूस करते हैं कि आपका बच्चा हिलता है?,كم مرة تشعرين بحركة طفلك؟
I feel my baby move several times a day.,నేను నా శిశువు రోజుకు కొన్నిసార్లు కదులుతున్నట్లు అనుభూతి చెందుతాను.,Nahisi mtoto wangu anatembea mara kadhaa kwa siku.,मुझे लगता है कि मेरा बच्चा दिन में कई बार हिलता है।,أشعر أن طفلي يتحرك عدة مرات في اليوم.
Do you have any pain or discomfort during pregnancy?,గర్భధారణ సమయంలో మీకు ఏవైనా నొప్పి లేదా అసౌకర్యం ఉందా?,"Je, una maumivu yoyote au usumbufu wakati wa ujauzito?",क्या आपको गर्भावस्था के दौरान कोई दर्द या परेशानी होती है?,هل تعانين من أي ألم أو إزعاج أثناء الحمل؟
I have some back pain and leg cramps.,నాకు కొన్ని వెన్ను నొప్పి మరియు కాళ్ళ నొప్పులు ఉన్నాయి.,Nina maumivu ya mgongo na maumivu ya mguu.,मुझे पीठ में दर्द और पैरों में ऐंठन है।,لدي بعض آلام الظهر وتشنجات الساق.
Have you talked to your doctor about your aches and pains?,మీరు మీ నొప్పులు మరియు నొప్పులు గురించి మీ డాక్టర్‌తో మాట్లాడారా?,"Je, umezungumza na daktari wako kuhusu maumivu na maumivu yako?",क्या आपने अपने दर्द और दर्द के बारे में अपने डॉक्टर से बात की है?,هل تحدثت مع طبيبك عن الأوجاع والآلام؟
"Yes, my doctor has suggested some exercises and stretches to help with the pain.","అవును, నా డాక్టర్ నొప్పికి సహాయపడే కొన్ని వ్యాయామాలు మరియు స్ట్రెచ్‌లు సూచించారు.","Ndio, daktari wangu amependekeza mazoezi na kunyoosha ili kusaidia na maumivu.","हां, मेरे डॉक्टर ने दर्द के साथ मदद करने के लिए कुछ व्यायाम और स्ट्रेच का सुझाव दिया है।",نعم ، اقترح طبيبي بعض التمارين والامتدادات للمساعدة في الألم.
I am breastfeeding my baby.,నేను నా శిశువుకు తల్లిపాలు ఇస్తున్నాను.,Ninamnyonyesha mtoto wangu.,मैं अपने बच्चे को स्तनपान करा रही हूं।,أنا أرضع طفلي.
How often do you feed your baby?,మీరు మీ శిశువుకు ఎంత తరచుగా పాలు ఇస్తారు?,Ni mara ngapi unamlisha mtoto wako?,आप अपने बच्चे को कितनी बार दूध पिलाती हैं?,كم مرة ترضعين طفلك؟
"I feed my baby on demand, usually every 2-3 hours.","నేను నా శిశువును డిమాండ్‌పై ఆహారం ఇస్తాను, సాధారణంగా ప్రతి 2-3 గంటలకు.","Ninamlisha mtoto wangu kwa mahitaji, kwa kawaida kila masaa 2-3.","मैं अपने बच्चे को मांग पर खिलाता हूं, आमतौर पर हर 2-3 घंटे में।",أطعم طفلي عند الطلب ، عادة كل 2-3 ساعات.
Are you having any problems breastfeeding?,మీరు తల్లిపాలు ఇవ్వడంలో ఏవైనా సమస్యలు ఉన్నాయా?,"Je, una matatizo yoyote ya kunyonyesha?",क्या आपको स्तनपान कराने में कोई समस्या हो रही है?,هل تواجهين أي مشاكل في الرضاعة الطبيعية؟
My nipples are sore and cracked.,నా న్నిప్పులు బాధితమై పగుళ్లుగా ఉన్నాయి.,Chuchu zangu ni dhaifu na zimepasuka.,मेरे निपल्स में दर्द और दरार है।,حلمتي مؤلمة ومتشققة.
My baby is not gaining weight as expected.,నా శిశువు ఆశించిన విధంగా బరువు పెరగడం లేదు.,Mtoto wangu haongezeki kama ilivyotarajiwa.,मेरे बच्चे का वजन उम्मीद के मुताबिक नहीं बढ़ रहा है।,طفلي لا يكتسب وزنا كما هو متوقع.
How often is your baby having wet and dirty diapers?,మీ శిశువుకు ఎంత తరచుగా తడి మరియు మురికి డైపర్లు వస్తున్నాయి?,Ni mara ngapi mtoto wako ana nepi za mvua na chafu?,आपके बच्चे को कितनी बार गीले और गंदे डायपर लग रहे हैं?,كم مرة يكون طفلك لديه حفاضات مبللة ومتسخة؟
My baby is having fewer than 6-8 wet diapers per day.,నా శిశువుకు రోజుకు 6-8 కంటే తక్కువ తడి డైపర్లు వస్తున్నాయి.,Mtoto wangu ana nepi 6-8 za mvua kwa siku.,मेरे बच्चे को प्रति दिन 6-8 से कम गीले डायपर मिल रहे हैं।,طفلي لديه أقل من 6-8 حفاضات مبللة يوميا.
Have you talked to your doctor about your baby's weight gain?,మీరు మీ శిశువు బరువు పెరుగుట గురించి మీ డాక్టర్‌తో మాట్లాడారా?,"Je, umezungumza na daktari wako kuhusu uzito wa mtoto wako?",क्या आपने अपने बच्चे के बढ़ते वजन के बारे में अपने डॉक्टर से बात की है?,هل تحدثت مع طبيبك عن زيادة وزن طفلك؟
My baby is sleeping too much or too little.,నా శిశువు ఎక్కువగా లేదా తక్కువగా నిద్రపోతుంది.,Mtoto wangu analala sana au ni mdogo sana.,मेरा बच्चा बहुत अधिक या बहुत कम सो रहा है।,طفلي ينام كثيرا أو قليلا جدا.
How many hours does your baby typically sleep at night?,మీ శిశువు సాధారణంగా రాత్రి ఎన్ని గంటలు నిద్రపోతుంది?,Ni masaa mangapi mtoto wako hulala usiku?,आपका बच्चा आमतौर पर रात में कितने घंटे सोता है?,كم ساعة ينام طفلك عادة في الليل؟
My baby is waking up frequently at night.,నా శిశువు రాత్రి తరచుగా మేల్కొంటుంది.,Mtoto wangu anaamka mara nyingi usiku.,मेरा बच्चा रात में अक्सर जागता है।,يستيقظ طفلي كثيرا في الليل.
Have you established a regular sleep schedule for your baby?,మీరు మీ శిశువుకు నిర్దిష్టమైన నిద్రా సమయాలను ఏర్పాటు చేశారా?,"Je, umeanzisha ratiba ya kawaida ya kulala kwa mtoto wako?",क्या आपने अपने बच्चे के लिए एक नियमित नींद कार्यक्रम स्थापित किया है?,هل وضعت جدولا منتظما لنوم طفلك؟
My baby is fussy and crying a lot.,నా శిశువు చికాకుగా ఉంది మరియు చాలా ఏడుస్తుంది.,Mtoto wangu ni mkorofi na analia sana.,मेरा बच्चा परेशान है और बहुत रो रहा है।,طفلي صعب الإرضاء ويبكي كثيرا.
What is your baby's typical mood and behavior like?,మీ శిశువు యొక్క సాధారణ మానసిక స్థితి మరియు ప్రవర్తనం ఎలా ఉంది?,"Je, tabia na tabia ya mtoto wako ni nini?",आपके बच्चे का विशिष्ट मूड और व्यवहार कैसा है?,كيف يبدو مزاج طفلك وسلوكه المعتاد؟
My baby seems to be more irritable than usual.,నా శిశువు సాధారణంగా కంటే ఎక్కువగా చిరాకుకు గురవుతున్నట్లు అనిపిస్తోంది.,Mtoto wangu anaonekana kuwa na hasira zaidi kuliko kawaida.,मेरा बच्चा सामान्य से अधिक चिड़चिड़ा लगता है।,يبدو أن طفلي سريع الانفعال أكثر من المعتاد.
"Have you tried different soothing techniques, such as swaddling or rocking, to calm your baby?",నా శిశువును శాంతపరచడానికి స్వాడలింగ్ లేదా రాకింగ్ వంటి విభిన్న శాంతపరిచే పద్ధతులను మీరు ప్రయత్నించారా?,"Je, umejaribu mbinu tofauti za kutuliza, kama vile kusugua au kutikisa, kumtuliza mtoto wako?","क्या आपने अपने बच्चे को शांत करने के लिए विभिन्न सुखदायक तकनीकों की कोशिश की है, जैसे कि स्वैडलिंग या रॉकिंग?",هل جربت تقنيات مهدئة مختلفة، مثل التقميط أو التأرجح، لتهدئة طفلك؟
My baby is having trouble latching onto the breast or bottle.,నా శిశువుకు రొమ్ము లేదా సీసాను పట్టుకోవడంలో ఇబ్బంది ఉంది.,Mtoto wangu ana matatizo ya kunyoa kwenye matiti au chupa.,मेरे बच्चे को स्तन या बोतल पर कुंडी लगाने में परेशानी हो रही है।,يواجه طفلي مشكلة في الالتصاق بالثدي أو الزجاجة.
How is your baby's feeding technique? Are they sucking effectively?,మీ శిశువు యొక్క ఆహారం తీసుకునే పద్ధతి ఎలా ఉంది? వారు సమర్థవంతంగా పాలు తాగుతున్నారా?,"Mbinu ya kulisha mtoto wako ni nini? Je, wao hunyonya kwa ufanisi?",आपके बच्चे को खिलाने की तकनीक कैसी है? क्या वे प्रभावी ढंग से चूस रहे हैं?,كيف هي تقنية تغذية طفلك؟ هل تمتص بشكل فعال؟
Have you tried different feeding positions or consulted with a lactation consultant to improve your baby's latch?,మీరు శిశువు పట్టుకోవడాన్ని మెరుగుపరచడానికి వివిధ ఆహారం తీసుకునే స్థానాలను ప్రయత్నించారా లేదా లాక్టేషన్ కన్సల్టెంట్‌ను సంప్రదించారా?,Umejaribu nafasi tofauti za kulisha au kushauriana na mshauri wa lactation ili kuboresha latch ya mtoto wako?,क्या आपने अपने बच्चे की कुंडी को बेहतर बनाने के लिए अलग-अलग फीडिंग पोजीशन की कोशिश की है या लैक्टेशन कंसल्टेंट से सलाह ली है?,هل جربت وضعيات تغذية مختلفة أو استشرت استشاري الرضاعة لتحسين رضاعة طفلك؟
My baby is spitting up a lot after feedings.,నా శిశువు ఆహారం తీసుకున్న తర్వాత చాలా వాంతి చేస్తుంది.,Mtoto wangu anapika sana baada ya kulisha.,मेरा बच्चा दूध पिलाने के बाद बहुत थूक रहा है।,طفلي يبصق كثيرا بعد الرضاعة.
How much spit-up is your baby experiencing? Is it a small amount or a forceful projectile vomit?,మీ శిశువు ఎంత స్పిట్-అప్ అనుభవిస్తుంది? ఇది చిన్న మొత్తంలో ఉందా లేదా బలవంతమైన ప్రొజెక్టైల్ వాంతి?,"Ni kiasi gani cha mtoto wako anapitia? Je, ni kiasi kidogo au vomit ya nguvu ya projectile?",आपका बच्चा कितना थूक अनुभव कर रहा है? क्या यह एक छोटी मात्रा या एक शक्तिशाली प्रक्षेप्य उल्टी है?,ما مقدار البصق الذي يعاني منه طفلك؟ هل هي كمية صغيرة أم قيء قذيفة قوية؟
My baby has a fever.,నా శిశువుకు జ్వరం ఉంది.,Mtoto wangu ana homa kali.,मेरे बच्चे को बुखार है।,طفلي مصاب بالحمى.
What is your baby's temperature?,మీ శిశువు ఉష్ణోగ్రత ఎంత?,Joto la mtoto wako ni nini?,आपके बच्चे का तापमान क्या है?,ما هي درجة حرارة طفلك؟
My baby's temperature is 102 degrees Fahrenheit.,నా శిశువు ఉష్ణోగ్రత 102 డిగ్రీలు ఫారన్‌హీట్.,Joto la mtoto wangu ni digrii 102 Fahrenheit.,मेरे बच्चे का तापमान 102 डिग्री फ़ारेनहाइट है।,درجة حرارة طفلي 102 درجة فهرنهايت.
Have you given your baby any acetaminophen or ibuprofen?,మీరు మీ శిశువుకు ఏదైనా అసిటమినోఫెన్ లేదా ఐబ్యూప్రోఫెన్ ఇచ్చారా?,"Je, umempa mtoto wako acetaminophen au ibuprofen?",क्या आपने अपने बच्चे को कोई एसिटामिनोफेन या इबुप्रोफेन दिया है?,هل أعطيت طفلك أي أسيتامينوفين أو إيبوبروفين؟
"Yes, I have given my baby acetaminophen, but their fever is not going down.","అవును, నేను నా శిశువుకు అసిటమినోఫెన్ ఇచ్చాను, కానీ వారి జ్వరం తగ్గడం లేదు.","Ndiyo, nimempa mtoto wangu acetaminophen, lakini homa yao haipungui.","हां, मैंने अपने बच्चे को एसिटामिनोफेन दिया है, लेकिन उनका बुखार कम नहीं हो रहा है।",نعم ، لقد أعطيت طفلي أسيتامينوفين ، لكن الحمى لا تنخفض.
You should take your baby to the doctor if their fever persists for more than 24 hours.,మీ శిశువు జ్వరం 24 గంటలకు పైగా ఉంటే మీరు వారిని డాక్టర్ వద్దకు తీసుకెళ్లాలి.,Unapaswa kumpeleka mtoto wako kwa daktari ikiwa homa yake itaendelea kwa zaidi ya masaa 24.,यदि उनका बुखार 24 घंटे से अधिक समय तक रहता है तो आपको अपने बच्चे को डॉक्टर के पास ले जाना चाहिए।,يجب أن تأخذ طفلك إلى الطبيب إذا استمرت الحمى لأكثر من 24 ساعة.
My baby has a rash.,నా శిశువుకు దద్దుర్లు ఉన్నాయి.,Mtoto wangu ana kigugumizi.,मेरे बच्चे को दाने हैं।,طفلي مصاب بطفح جلدي.
What does the rash look like?,ఈ దద్దుర్లు ఎలా కనిపిస్తున్నాయి?,"Je, upele unaonekana kama nini?",दाने कैसा दिखता है?,كيف يبدو الطفح الجلدي؟
"The rash is red, itchy, and bumpy.","ఈ దద్దుర్లు ఎరుపు, దురదృబాటు మరియు గడ్డలుగా ఉన్నాయి.","Upele ni nyekundu, itchy, na bumpy.","दाने लाल, खुजलीदार और ऊबड़-खाबड़ होते हैं।",الطفح الجلدي أحمر وحكة ووعرة.
Have you introduced any new foods or detergents into your baby's routine?,మీరు మీ శిశువు దినచర్యలో ఏవైనా కొత్త ఆహారాలు లేదా డిటర్జెంట్‌లను చేర్చారా?,"Je, umeanzisha vyakula au sabuni mpya katika utaratibu wa mtoto wako?",क्या आपने अपने बच्चे की दिनचर्या में कोई नया खाद्य पदार्थ या डिटर्जेंट शामिल किया है?,هل أدخلت أي أطعمة أو منظفات جديدة في روتين طفلك؟
"Yes, we started giving our baby solid foods a few weeks ago.","అవును, మేము కొన్ని వారాల క్రితం మా శిశువుకు ఘన ఆహారం ఇవ్వడం ప్రారంభించాము.","Ndio, tulianza kumpa mtoto wetu vyakula vyenye nguvu wiki chache zilizopita.","हां, हमने कुछ हफ्ते पहले अपने बच्चे को ठोस खाद्य पदार्थ देना शुरू कर दिया था।",نعم ، بدأنا في إعطاء أطفالنا الأطعمة الصلبة قبل بضعة أسابيع.
It is possible that your baby is allergic to one of the new foods they are trying. You should consult with your doctor to determine the cause of the rash.,మీ శిశువు వారు ప్రయత్నిస్తున్న కొత్త ఆహారాలలో ఒకదానికి అలెర్జీ కావచ్చు. దద్దుర్లు ఏర్పడటానికి కారణమయ్యేదేమిటో నిర్ణయించడానికి మీరు మీ డాక్టర్‌తో సంప్రదించాలి.,Inawezekana kwamba mtoto wako ana mzio wa moja ya vyakula vipya wanavyojaribu. Unapaswa kushauriana na daktari wako ili kujua sababu ya upele.,यह संभव है कि आपके बच्चे को उन नए खाद्य पदार्थों में से एक से एलर्जी है जो वे कोशिश कर रहे हैं। दाने का कारण निर्धारित करने के लिए आपको अपने डॉक्टर से परामर्श करना चाहिए।,من الممكن أن يكون طفلك مصابا بالحساسية تجاه أحد الأطعمة الجديدة التي يحاولها. يجب عليك استشارة طبيبك لتحديد سبب الطفح الجلدي.
My baby has a cough.,నా శిశువుకు దగ్గు ఉంది.,Mtoto wangu ana kikohozi.,मेरे बच्चे को खांसी है।,طفلي يعاني من السعال.
How long has your baby had a cough?,మీ శిశువుకు ఎంతకాలం దగ్గు ఉంది?,Mtoto wako amekuwa na kikohozi kwa muda gani?,आपके बच्चे को कितने समय से खांसी है?,منذ متى يعاني طفلك من السعال؟
My baby has had a cough for about a week.,నా శిశువుకు దాదాపు వారం రోజులు దగ్గు ఉంది.,Mtoto wangu amekuwa na kikohozi kwa karibu wiki moja.,मेरे बच्चे को लगभग एक सप्ताह से खांसी है।,طفلي يعاني من السعال منذ حوالي أسبوع.
Is your baby's cough dry or wet?,మీ శిశువు దగ్గు పొడిగా ఉంటుందా లేదా తడిగా ఉంటుందా?,"Je, kikohozi cha mtoto wako ni kikavu au kimelowa?",क्या आपके बच्चे की खांसी सूखी या गीली है?,هل سعال طفلك جاف أم مبلل؟
My baby's cough is wet and productive.,నా శిశువు దగ్గు తడిగా మరియు ఉత్పాదకంగా ఉంది.,Kikohozi cha mtoto wangu ni cha mvua na chenye tija.,मेरे बच्चे की खांसी गीली और उत्पादक है।,سعال طفلي رطب ومنتج.
